№ УБИ;Название УБИ;Описание;Нарушитель и его уровень возможностей;Нарушение конфиденциальности;Нарушение целостности;Нарушение доступности
1;Несанкционированный доступ к данным БД;"Получение пользователем или процессом доступа к данным, не разрешенным политикой безопасности.";"Внутренний/внешний нарушитель, средний уровень";✅;❌;❌
2;Несанкционированная модификация данных;"Изменение, удаление или подмена данных в базе данных без соответствующих полномочий.";"Внутренний нарушитель, высокий уровень";❌;✅;❌
3;Отказ в обслуживании (DoS/DDoS);"Создание условий, при которых легитимные пользователи лишаются доступа к серверу БД из-за исчерпания ресурсов.";"Внешний нарушитель, высокий уровень";❌;❌;✅
4;Несанкционированный доступ к конфигурации СУБД;"Изменение параметров конфигурации сервера БД, ведущее к снижению уровня безопасности.";"Внутренний нарушитель, высокий уровень";✅;✅;✅
5;Внедрение вредоносного кода (SQL-инъекция);"Внедрение и выполнение произвольного SQL-кода через уязвимости в клиентских приложениях.";"Внешний нарушитель, средний уровень";✅;✅;❌
6;Компрометация учетных данных;"Хищение или подбор учетных данных (логинов/паролей) легитимных пользователей или администраторов БД.";"Внутренний/внешний нарушитель, средний уровень";✅;✅;✅
7;Неправомерное изменение схемы БД;"Несанкционированное создание, изменение или удаление объектов базы данных (таблиц, представлений, процедур).";"Внутренний нарушитель, высокий уровень";❌;✅;❌
8;Утечка информации через побочные каналы;"Несанкционированное получение информации за счет анализа побочных эффектов работы системы (время отклика, электромагнитное излучение).";"Внешний нарушитель, высокий уровень";✅;❌;❌
9;Нарушение регламента резервного копирования;"Сбой или намеренное нарушение процесса резервного копирования, ведущее к невозможности восстановления данных.";"Внутренний нарушитель, низкий уровень";❌;❌;✅
10;Несанкционированный доступ к файлам резервных копий;"Хищение или копирование файлов резервных копий базы данных.";"Внутренний нарушитель, средний уровень";✅;❌;❌
11;Отказ аппаратного обеспечения;"Выход из строя оборудования сервера (дисковый массив, память, процессор), ведущий к недоступности БД.";"Техногенный фактор (не нарушитель)";❌;❌;✅
12;Несанкционированное использование привилегий;"Использование легальных высоких привилегий для совершения несанкционированных действий (например, администратором).";"Внутренний нарушитель, высокий уровень";✅;✅;❌
13;Перехват данных в канале связи;"Несанкционированный перехват информации, передаваемой между клиентским приложением и сервером БД.";"Внешний нарушитель, средний уровень";✅;❌;❌
14;Нарушение целостности транзакций;"Намеренное или случайное нарушение логики транзакций, приводящее к несогласованности данных.";"Внутренний нарушитель, средний уровень";❌;✅;❌
15;Несанкционированный доступ к журналам аудита;"Получение доступа к журналам регистрации событий безопасности для сокрытия других атак.";"Внутренний нарушитель, средний уровень";✅;❌;❌
16;Неправомерное восстановление данных;"Восстановление данных из резервной копии в обход установленных процедур, что может привести к потере актуальных данных.";"Внутренний нарушитель, средний уровень";❌;✅;❌
17;Внедрение вредоносного ПО на уровне ОС;"Установка на сервер БД вредоносных программ (трояны, шпионское ПО), нарушающих политику безопасности.";"Внешний нарушитель, высокий уровень";✅;✅;✅
18;Несанкционированное создание учетных записей;"Создание в СУБД новых учетных записей с правами доступа к данным.";"Внутренний нарушитель, высокий уровень";✅;✅;❌
19;Нарушение физической безопасности сервера;"Прямой физический доступ к оборудованию сервера БД, позволяющий изменить его конфигурацию или похитить диски.";"Внутренний нарушитель, низкий уровень";✅;✅;✅
20;Неправомерное блокирование данных;"Намеренная установка блокировок на данные или объекты БД, препятствующая работе легитимных пользователей.";"Внутренний нарушитель, средний уровень";❌;❌;✅
21;Несанкционированное использование служебных утилит;"Использование административных утилит СУБД или ОС для обхода механизмов защиты и несанкционированного доступа к данным.";"Внутренний нарушитель, высокий уровень";✅;✅;❌
22;Недостатки в системе управления доступом;"Ошибки в настройке или проектировании системы разграничения прав доступа, позволяющие нарушителю получить несанкционированные привилегии.";"Внутренний нарушитель, средний уровень";✅;✅;❌
23;Нарушение регламента обслуживания;"Несоблюдение установленных процедур и регламентов по обслуживанию БД (например, установка патчей), ведущее к появлению уязвимостей.";"Внутренний нарушитель, низкий уровень";❌;✅;✅
24;Несанкционированное подключение к административным интерфейсам;"Доступ к интерфейсам удаленного администрирования СУБД или ОС сервера БД.";"Внешний нарушитель, высокий уровень";✅;✅;✅
25;Потеря или хищение носителей информации;"Утрата или кража физических носителей (жестких дисков, лент), на которых хранится база данных или ее резервные копии.";"Внутренний/внешний нарушитель, низкий уровень";✅;❌;❌
