event_id,timestamp,period,source_ip,destination_service,user_role,request_method,requests_per_min,payload_size_bytes,response_time_ms,cpu_load_percent,source_port,severity_level,is_malicious,attack_type
EVT-00001,2026-03-16 08:00:00,baseline,10.0.13.110,web,user,POST,14,48.6,55.75,36.08,64190,Medium,0,normal
EVT-00002,2026-03-16 08:00:15,baseline,10.0.2.63,web,user,POST,15,4.6,24.99,42.5,53846,Low,0,normal
EVT-00003,2026-03-16 08:00:30,baseline,10.0.18.36,api,user,PUT,16,30.22,62.13,44.94,51418,Low,0,normal
EVT-00004,2026-03-16 08:00:45,baseline,10.0.5.130,files,user,GET,12,32.26,0.39,38.95,57883,Low,0,normal
EVT-00005,2026-03-16 08:01:00,baseline,10.0.8.46,web,user,PUT,18,15.45,99.7,35.37,62599,Low,0,normal
EVT-00006,2026-03-16 08:01:15,baseline,10.0.15.231,web,user,DELETE,13,1.88,2.1,29.22,52059,Low,0,normal
EVT-00007,2026-03-16 08:01:30,baseline,10.0.20.53,api,user,GET,11,32.74,129.78,52.17,56497,Low,0,normal
EVT-00008,2026-03-16 08:01:45,baseline,10.0.17.238,api,admin,GET,19,146.77,91.85,26.46,64829,Low,0,normal
EVT-00009,2026-03-16 08:02:00,baseline,10.0.4.83,web,user,POST,18,84.15,89.72,42.42,57986,Low,0,normal
EVT-00010,2026-03-16 08:02:15,baseline,10.0.10.91,api,user,GET,18,11.19,49.25,33.5,53465,Low,0,normal
EVT-00011,2026-03-16 08:02:30,baseline,10.0.1.124,auth,user,POST,24,5.12,153.02,39.34,58099,Medium,0,normal
EVT-00012,2026-03-16 08:02:45,baseline,10.0.1.88,auth,user,GET,20,9.77,0.03,29.07,58285,Low,0,normal
EVT-00013,2026-03-16 08:03:00,baseline,10.0.4.61,files,user,GET,13,43.35,26.66,42.46,56113,Low,0,normal
EVT-00014,2026-03-16 08:03:15,baseline,10.0.2.210,web,user,POST,7,21.92,89.17,22.43,61216,Low,0,normal
EVT-00015,2026-03-16 08:03:30,baseline,10.0.2.232,web,guest,GET,11,19.2,9.92,42.74,49260,Medium,0,normal
EVT-00016,2026-03-16 08:03:45,baseline,10.0.7.209,api,user,PUT,15,13.29,34.45,36.64,61049,Low,0,normal
EVT-00017,2026-03-16 08:04:00,baseline,10.0.14.136,web,guest,POST,15,36.83,11.59,37.48,58012,Low,0,normal
EVT-00018,2026-03-16 08:04:15,baseline,10.0.9.233,auth,guest,POST,25,24.62,0.87,35.31,57243,Low,0,normal
EVT-00019,2026-03-16 08:04:30,baseline,10.0.11.218,web,user,GET,19,25.88,9.49,33.79,55930,Medium,0,normal
EVT-00020,2026-03-16 08:04:45,baseline,10.0.8.28,auth,guest,POST,16,10.14,119.43,26.85,62148,Low,0,normal
EVT-00021,2026-03-16 08:05:00,baseline,10.0.8.23,web,user,POST,17,16.94,95.47,38.7,64509,Low,0,normal
EVT-00022,2026-03-16 08:05:15,baseline,10.0.7.242,api,user,PUT,12,18.36,59.45,27.92,64458,Low,0,normal
EVT-00023,2026-03-16 08:05:30,baseline,10.0.2.135,auth,user,GET,20,38.85,121.58,41.95,61752,Low,0,normal
EVT-00024,2026-03-16 08:05:45,baseline,10.0.2.66,files,user,GET,7,40.28,7.39,30.94,53303,Low,0,normal
EVT-00025,2026-03-16 08:06:00,baseline,10.0.20.39,auth,guest,GET,21,3.06,36.93,40.78,61340,Low,0,normal
EVT-00026,2026-03-16 08:06:15,baseline,10.0.8.107,api,guest,PUT,10,2.84,72.81,33.87,55291,Low,0,normal
EVT-00027,2026-03-16 08:06:30,baseline,10.0.7.219,api,user,GET,15,25.26,119.77,32.09,52948,Medium,0,normal
